Updated,Flow
2014-03-31 05:31 MDT,0
2014-03-31 05:00 MDT,0
2014-03-31 04:30 MDT,0
2014-03-31 04:00 MDT,0
2014-03-31 03:30 MDT,0
2014-03-31 03:00 MDT,0
2014-03-31 02:30 MDT,0
2014-03-31 02:00 MDT,20
2014-03-31 01:30 MDT,20
2014-03-31 01:00 MDT,0
2014-03-31 00:29 MDT,0
2014-03-31 00:06 MDT,0
2014-03-30 23:37 MDT,0
2014-03-30 22:36 MDT,0
2014-03-30 22:05 MDT,0
2014-03-30 21:36 MDT,0
2014-03-30 21:06 MDT,0
2014-03-30 20:35 MDT,0
2014-03-30 20:06 MDT,0
2014-03-30 19:34 MDT,0
2014-03-30 19:06 MDT,0
2014-03-30 18:36 MDT,20
2014-03-30 18:08 MDT,30
2014-03-30 17:36 MDT,30
2014-03-30 17:05 MDT,30
2014-03-30 16:58 MDT,30
2014-03-30 16:45 MDT,20
2014-03-30 16:18 MDT,20
2014-03-30 16:14 MDT,20
2014-03-30 15:42 MDT,20
2014-03-30 15:14 MDT,20
2014-03-30 14:36 MDT,30
2014-03-30 14:05 MDT,30
2014-03-30 13:36 MDT,20
2014-03-30 13:27 MDT,20
2014-03-30 13:06 MDT,20
2014-03-30 12:11 MDT,20
2014-03-30 12:09 MDT,20
2014-03-30 11:38 MDT,20
2014-03-30 11:30 MDT,20
2014-03-30 11:05 MDT,10
2014-03-30 10:48 MDT,10
2014-03-30 10:34 MDT,0
2014-03-30 10:33 MDT,0
2014-03-30 10:13 MDT,0
2014-03-30 10:11 MDT,0
2014-03-30 09:03 MDT,0
2014-03-30 08:34 MDT,0
2014-03-30 08:04 MDT,0
2014-03-30 07:34 MDT,0
2014-03-30 07:04 MDT,0
2014-03-30 06:33 MDT,0
2014-03-30 06:04 MDT,0
2014-03-30 05:33 MDT,0
2014-03-30 05:04 MDT,0
2014-03-30 04:34 MDT,0
2014-03-30 04:03 MDT,10
2014-03-30 03:35 MDT,10
2014-03-30 03:04 MDT,10
2014-03-30 02:33 MDT,0
2014-03-30 01:32 MDT,0
